,Tissue,cell_ontology_class,age,dataset,cell_id,seurat_clusters
1100_FACS 24m,pancreas,pancreatic acinar cell,24m,FACS 24m,1100_FACS 24m,3
1101_FACS 24m,heart,valve cell,24m,FACS 24m,1101_FACS 24m,24
1102_FACS 24m,heart,ventricular myocyte,24m,FACS 24m,1102_FACS 24m,3
1103_FACS 24m,large_intestine,large intestine goblet cell,24m,FACS 24m,1103_FACS 24m,27
1104_FACS 24m,heart,endocardial cell,24m,FACS 24m,1104_FACS 24m,0
1105_FACS 24m,kidney,fenestrated cell,24m,FACS 24m,1105_FACS 24m,0
1106_FACS 24m,lung,bronchial smooth muscle cell,24m,FACS 24m,1106_FACS 24m,12
1107_FACS 24m,marrow,NK cell,24m,FACS 24m,1107_FACS 24m,30
1108_FACS 24m,bat,myeloid cell,24m,FACS 24m,1108_FACS 24m,3
1109_FACS 24m,brain_non-myeloid,endothelial cell,24m,FACS 24m,1109_FACS 24m,0
1110_FACS 24m,skin,epidermal cell,24m,FACS 24m,1110_FACS 24m,23
1111_FACS 24m,brain_non-myeloid,oligodendrocyte,24m,FACS 24m,1111_FACS 24m,2
1112_FACS 24m,marrow,megakaryocyte-erythroid progenitor cell,24m,FACS 24m,1112_FACS 24m,14
1113_FACS 24m,thymus,thymocyte,24m,FACS 24m,1113_FACS 24m,31
1114_FACS 24m,kidney,kidney collecting duct principal cell,24m,FACS 24m,1114_FACS 24m,15
1115_FACS 24m,scat,mesenchymal stem cell of adipose,24m,FACS 24m,1115_FACS 24m,4
1116_FACS 24m,liver,hepatocyte,24m,FACS 24m,1116_FACS 24m,26
1117_FACS 24m,tongue,keratinocyte,24m,FACS 24m,1117_FACS 24m,23
1118_FACS 24m,lung,bronchial smooth muscle cell,24m,FACS 24m,1118_FACS 24m,0
1119_FACS 24m,liver,endothelial cell of hepatic sinusoid,24m,FACS 24m,1119_FACS 24m,0
1120_FACS 24m,pancreas,pancreatic ductal cell,24m,FACS 24m,1120_FACS 24m,15
1121_FACS 24m,marrow,hematopoietic stem cell,24m,FACS 24m,1121_FACS 24m,9
1122_FACS 24m,marrow,mature alpha-beta T cell,24m,FACS 24m,1122_FACS 24m,8
1123_FACS 24m,lung,type II pneumocyte,24m,FACS 24m,1123_FACS 24m,15
1124_FACS 24m,thymus,epithelial cell of thymus,24m,FACS 24m,1124_FACS 24m,4
1125_FACS 3m,spleen,B cell,3m,FACS 3m,1125_FACS 3m,8
1126_FACS 3m,fat,mesenchymal stem cell of adipose,3m,FACS 3m,1126_FACS 3m,5
1127_FACS 3m,brain_myeloid,microglial cell,3m,FACS 3m,1127_FACS 3m,13
1128_FACS 3m,heart,endothelial cell,3m,FACS 3m,1128_FACS 3m,0
1129_FACS 3m,brain_non-myeloid,oligodendrocyte,3m,FACS 3m,1129_FACS 3m,2
1130_FACS 3m,mammary_gland,basal cell,3m,FACS 3m,1130_FACS 3m,7
1131_FACS 3m,heart,fibroblast,3m,FACS 3m,1131_FACS 3m,5
1132_FACS 3m,thymus,immature T cell,3m,FACS 3m,1132_FACS 3m,1
1133_FACS 3m,brain_myeloid,microglial cell,3m,FACS 3m,1133_FACS 3m,13
1134_FACS 3m,limb_muscle,skeletal muscle satellite cell,3m,FACS 3m,1134_FACS 3m,3
1135_FACS 3m,brain_myeloid,microglial cell,3m,FACS 3m,1135_FACS 3m,13
1136_FACS 3m,limb_muscle,mesenchymal stem cell,3m,FACS 3m,1136_FACS 3m,5
1137_FACS 3m,heart,fibroblast,3m,FACS 3m,1137_FACS 3m,5
1138_FACS 3m,marrow,Slamf1-negative multipotent progenitor cell,3m,FACS 3m,1138_FACS 3m,9
1139_FACS 3m,large_intestine,epithelial cell of large intestine,3m,FACS 3m,1139_FACS 3m,27
1140_FACS 3m,skin,keratinocyte stem cell,3m,FACS 3m,1140_FACS 3m,7
