,Tissue,cell_ontology_class,age,dataset,cell_id,seurat_clusters
229_E6.5_8.5_Marioni,endoderm,Parietal endoderm,E7.25,E6.5_8.5_Marioni,229_E6.5_8.5_Marioni,4
230_E6.5_8.5_Marioni,ectoderm,ExE ectoderm,E7.25,E6.5_8.5_Marioni,230_E6.5_8.5_Marioni,17
231_E6.5_8.5_Marioni,mesoderm,Nascent mesoderm,E7.25,E6.5_8.5_Marioni,231_E6.5_8.5_Marioni,10
232_E6.5_8.5_Marioni,epiblast,Primitive Streak,E7.25,E6.5_8.5_Marioni,232_E6.5_8.5_Marioni,6
233_E6.5_8.5_Marioni,epiblast,Epiblast,E7.25,E6.5_8.5_Marioni,233_E6.5_8.5_Marioni,6
234_E6.5_8.5_Marioni,epiblast,Primitive Streak,E7.25,E6.5_8.5_Marioni,234_E6.5_8.5_Marioni,6
235_E6.5_8.5_Marioni,ectoderm,ExE ectoderm,E7.25,E6.5_8.5_Marioni,235_E6.5_8.5_Marioni,17
236_E6.5_8.5_Marioni,mesoderm,Nascent mesoderm,E7.25,E6.5_8.5_Marioni,236_E6.5_8.5_Marioni,10
237_E6.5_8.5_Marioni,ectoderm,ExE ectoderm,E7.25,E6.5_8.5_Marioni,237_E6.5_8.5_Marioni,17
238_E6.5_8.5_Marioni,epiblast,Epiblast,E7.25,E6.5_8.5_Marioni,238_E6.5_8.5_Marioni,6
239_E6.5_8.5_Marioni,ectoderm,Rostral neurectoderm,E7.75,E6.5_8.5_Marioni,239_E6.5_8.5_Marioni,10
240_E6.5_8.5_Marioni,mesoderm,Mesenchyme,E7.75,E6.5_8.5_Marioni,240_E6.5_8.5_Marioni,19
241_E6.5_8.5_Marioni,mesoderm,Erythroid1,E7.75,E6.5_8.5_Marioni,241_E6.5_8.5_Marioni,14
242_E6.5_8.5_Marioni,mesoderm,Blood progenitors 2,E7.75,E6.5_8.5_Marioni,242_E6.5_8.5_Marioni,14
243_E6.5_8.5_Marioni,endoderm,Gut,E7.75,E6.5_8.5_Marioni,243_E6.5_8.5_Marioni,15
244_E6.5_8.5_Marioni,mesoderm,Haematoendothelial progenitors,E7.75,E6.5_8.5_Marioni,244_E6.5_8.5_Marioni,12
245_E6.5_8.5_Marioni,mesoderm,Intermediate mesoderm,E7.75,E6.5_8.5_Marioni,245_E6.5_8.5_Marioni,11
246_E6.5_8.5_Marioni,ectoderm,ExE ectoderm,E7.75,E6.5_8.5_Marioni,246_E6.5_8.5_Marioni,17
247_E6.5_8.5_Marioni,mesoderm,Cardiomyocytes,E7.75,E6.5_8.5_Marioni,247_E6.5_8.5_Marioni,19
248_E6.5_8.5_Marioni,mesoderm,Notochord,E7.75,E6.5_8.5_Marioni,248_E6.5_8.5_Marioni,15
249_E6.5_8.5_Marioni,endoderm,ExE endoderm,E7.75,E6.5_8.5_Marioni,249_E6.5_8.5_Marioni,16
250_E6.5_8.5_Marioni,epiblast,Caudal epiblast,E7.75,E6.5_8.5_Marioni,250_E6.5_8.5_Marioni,2
251_E6.5_8.5_Marioni,ectoderm,ExE ectoderm,E7.75,E6.5_8.5_Marioni,251_E6.5_8.5_Marioni,17
252_E6.5_8.5_Marioni,ectoderm,Rostral neurectoderm,E7.75,E6.5_8.5_Marioni,252_E6.5_8.5_Marioni,10
253_E6.5_8.5_Marioni,ectoderm,ExE ectoderm,E7.75,E6.5_8.5_Marioni,253_E6.5_8.5_Marioni,17
254_E6.5_8.5_Marioni,mesoderm,Intermediate mesoderm,E7.75,E6.5_8.5_Marioni,254_E6.5_8.5_Marioni,11
255_E6.5_8.5_Marioni,mesoderm,Paraxial mesoderm,E7.75,E6.5_8.5_Marioni,255_E6.5_8.5_Marioni,11
256_E6.5_8.5_Marioni,endoderm,ExE endoderm,E7.75,E6.5_8.5_Marioni,256_E6.5_8.5_Marioni,16
257_E6.5_8.5_Marioni,endoderm,ExE endoderm,E7.75,E6.5_8.5_Marioni,257_E6.5_8.5_Marioni,16
258_E6.5_8.5_Marioni,mesoderm,Paraxial mesoderm,E8.0,E6.5_8.5_Marioni,258_E6.5_8.5_Marioni,11
259_E6.5_8.5_Marioni,mesoderm,Blood progenitors 2,E8.0,E6.5_8.5_Marioni,259_E6.5_8.5_Marioni,14
260_E6.5_8.5_Marioni,mesoderm,Haematoendothelial progenitors,E8.0,E6.5_8.5_Marioni,260_E6.5_8.5_Marioni,12
261_E6.5_8.5_Marioni,mesoderm,Mesenchyme,E8.0,E6.5_8.5_Marioni,261_E6.5_8.5_Marioni,19
262_E6.5_8.5_Marioni,mesoderm,Intermediate mesoderm,E8.0,E6.5_8.5_Marioni,262_E6.5_8.5_Marioni,11
263_E6.5_8.5_Marioni,ectoderm,Surface ectoderm,E8.0,E6.5_8.5_Marioni,263_E6.5_8.5_Marioni,15
264_E6.5_8.5_Marioni,mesoderm,Pharyngeal mesoderm,E8.0,E6.5_8.5_Marioni,264_E6.5_8.5_Marioni,19
265_E6.5_8.5_Marioni,endoderm,Gut,E8.0,E6.5_8.5_Marioni,265_E6.5_8.5_Marioni,15
266_E6.5_8.5_Marioni,ectoderm,Rostral neurectoderm,E8.0,E6.5_8.5_Marioni,266_E6.5_8.5_Marioni,2
267_E6.5_8.5_Marioni,mesoderm,Notochord,E8.0,E6.5_8.5_Marioni,267_E6.5_8.5_Marioni,15
268_E6.5_8.5_Marioni,endoderm,Parietal endoderm,E8.0,E6.5_8.5_Marioni,268_E6.5_8.5_Marioni,4
269_E6.5_8.5_Marioni,ectoderm,Rostral neurectoderm,E8.0,E6.5_8.5_Marioni,269_E6.5_8.5_Marioni,2
270_E6.5_8.5_Marioni,mesoderm,Intermediate mesoderm,E8.0,E6.5_8.5_Marioni,270_E6.5_8.5_Marioni,11
271_E6.5_8.5_Marioni,epiblast,Caudal epiblast,E8.0,E6.5_8.5_Marioni,271_E6.5_8.5_Marioni,2
272_E6.5_8.5_Marioni,endoderm,ExE endoderm,E8.0,E6.5_8.5_Marioni,272_E6.5_8.5_Marioni,16
273_E6.5_8.5_Marioni,mesoderm,ExE mesoderm,E8.0,E6.5_8.5_Marioni,273_E6.5_8.5_Marioni,19
274_E6.5_8.5_Marioni,mesoderm,Erythroid1,E8.0,E6.5_8.5_Marioni,274_E6.5_8.5_Marioni,14
275_E6.5_8.5_Marioni,ectoderm,ExE ectoderm,E8.0,E6.5_8.5_Marioni,275_E6.5_8.5_Marioni,17
276_E6.5_8.5_Marioni,ectoderm,Caudal neurectoderm,E8.0,E6.5_8.5_Marioni,276_E6.5_8.5_Marioni,2
277_E6.5_8.5_Marioni,ectoderm,Forebrain/Midbrain/Hindbrain,E8.25,E6.5_8.5_Marioni,277_E6.5_8.5_Marioni,2
278_E6.5_8.5_Marioni,ectoderm,Forebrain/Midbrain/Hindbrain,E8.25,E6.5_8.5_Marioni,278_E6.5_8.5_Marioni,2
279_E6.5_8.5_Marioni,mesoderm,Mesenchyme,E8.25,E6.5_8.5_Marioni,279_E6.5_8.5_Marioni,19
280_E6.5_8.5_Marioni,mesoderm,Pharyngeal mesoderm,E8.25,E6.5_8.5_Marioni,280_E6.5_8.5_Marioni,11
281_E6.5_8.5_Marioni,mesoderm,Erythroid2,E8.25,E6.5_8.5_Marioni,281_E6.5_8.5_Marioni,14
282_E6.5_8.5_Marioni,endoderm,ExE endoderm,E8.25,E6.5_8.5_Marioni,282_E6.5_8.5_Marioni,16
283_E6.5_8.5_Marioni,mesoderm,Cardiomyocytes,E8.25,E6.5_8.5_Marioni,283_E6.5_8.5_Marioni,19
284_E6.5_8.5_Marioni,ectoderm,Surface ectoderm,E8.25,E6.5_8.5_Marioni,284_E6.5_8.5_Marioni,15
285_E6.5_8.5_Marioni,endoderm,Gut,E8.25,E6.5_8.5_Marioni,285_E6.5_8.5_Marioni,15
286_E6.5_8.5_Marioni,ectoderm,ExE ectoderm,E8.25,E6.5_8.5_Marioni,286_E6.5_8.5_Marioni,17
287_E6.5_8.5_Marioni,mesoderm,NMP,E8.25,E6.5_8.5_Marioni,287_E6.5_8.5_Marioni,2
288_E6.5_8.5_Marioni,mesoderm,Paraxial mesoderm,E8.25,E6.5_8.5_Marioni,288_E6.5_8.5_Marioni,11
289_E6.5_8.5_Marioni,mesoderm,Intermediate mesoderm,E8.25,E6.5_8.5_Marioni,289_E6.5_8.5_Marioni,11
290_E6.5_8.5_Marioni,mesoderm,Erythroid1,E8.25,E6.5_8.5_Marioni,290_E6.5_8.5_Marioni,14
291_E6.5_8.5_Marioni,mesoderm,Somitic mesoderm,E8.25,E6.5_8.5_Marioni,291_E6.5_8.5_Marioni,11
292_E6.5_8.5_Marioni,mesoderm,Haematoendothelial progenitors,E8.25,E6.5_8.5_Marioni,292_E6.5_8.5_Marioni,12
293_E6.5_8.5_Marioni,mesoderm,Allantois,E8.25,E6.5_8.5_Marioni,293_E6.5_8.5_Marioni,19
294_E6.5_8.5_Marioni,ectoderm,Surface ectoderm,E8.25,E6.5_8.5_Marioni,294_E6.5_8.5_Marioni,15
295_E6.5_8.5_Marioni,ectoderm,Forebrain/Midbrain/Hindbrain,E8.5,E6.5_8.5_Marioni,295_E6.5_8.5_Marioni,2
296_E6.5_8.5_Marioni,mesoderm,Erythroid3,E8.5,E6.5_8.5_Marioni,296_E6.5_8.5_Marioni,14
297_E6.5_8.5_Marioni,ectoderm,Forebrain/Midbrain/Hindbrain,E8.5,E6.5_8.5_Marioni,297_E6.5_8.5_Marioni,2
298_E6.5_8.5_Marioni,mesoderm,Paraxial mesoderm,E8.5,E6.5_8.5_Marioni,298_E6.5_8.5_Marioni,11
299_E6.5_8.5_Marioni,mesoderm,Allantois,E8.5,E6.5_8.5_Marioni,299_E6.5_8.5_Marioni,19
300_E6.5_8.5_Marioni,ectoderm,Neural crest,E8.5,E6.5_8.5_Marioni,300_E6.5_8.5_Marioni,11
301_E6.5_8.5_Marioni,mesoderm,Cardiomyocytes,E8.5,E6.5_8.5_Marioni,301_E6.5_8.5_Marioni,19
302_E6.5_8.5_Marioni,ectoderm,Surface ectoderm,E8.5,E6.5_8.5_Marioni,302_E6.5_8.5_Marioni,15
303_E6.5_8.5_Marioni,mesoderm,Somitic mesoderm,E8.5,E6.5_8.5_Marioni,303_E6.5_8.5_Marioni,11
304_E6.5_8.5_Marioni,endoderm,ExE endoderm,E8.5,E6.5_8.5_Marioni,304_E6.5_8.5_Marioni,16
305_E6.5_8.5_Marioni,mesoderm,Erythroid3,E8.5,E6.5_8.5_Marioni,305_E6.5_8.5_Marioni,14
306_E6.5_8.5_Marioni,mesoderm,Blood progenitors 2,E8.5,E6.5_8.5_Marioni,306_E6.5_8.5_Marioni,14
307_E6.5_8.5_Marioni,mesoderm,ExE mesoderm,E8.5,E6.5_8.5_Marioni,307_E6.5_8.5_Marioni,11
308_E6.5_8.5_Marioni,ectoderm,Surface ectoderm,E8.5,E6.5_8.5_Marioni,308_E6.5_8.5_Marioni,19
309_E6.5_8.5_Marioni,mesoderm,Erythroid3,E8.5,E6.5_8.5_Marioni,309_E6.5_8.5_Marioni,14
310_E6.5_8.5_Marioni,ectoderm,Forebrain/Midbrain/Hindbrain,E8.5,E6.5_8.5_Marioni,310_E6.5_8.5_Marioni,2
311_E6.5_8.5_Marioni,mesoderm,Paraxial mesoderm,E8.5,E6.5_8.5_Marioni,311_E6.5_8.5_Marioni,11
312_E6.5_8.5_Marioni,ectoderm,Surface ectoderm,E8.5,E6.5_8.5_Marioni,312_E6.5_8.5_Marioni,15
313_E6.5_8.5_Marioni,mesoderm,NMP,E8.5,E6.5_8.5_Marioni,313_E6.5_8.5_Marioni,2
314_E6.5_8.5_Marioni,mesoderm,Mesenchyme,E8.5,E6.5_8.5_Marioni,314_E6.5_8.5_Marioni,19
315_E6.5_8.5_Marioni,mesoderm,Endothelium,E8.5,E6.5_8.5_Marioni,315_E6.5_8.5_Marioni,12
316_E5.5_Nowotschin,epiblast,EPI,E5.5,E5.5_Nowotschin,316_E5.5_Nowotschin,10
317_E5.5_Nowotschin,epiblast,EPI,E5.5,E5.5_Nowotschin,317_E5.5_Nowotschin,10
318_E5.5_Nowotschin,epiblast,EPI,E5.5,E5.5_Nowotschin,318_E5.5_Nowotschin,10
319_E5.5_Nowotschin,xecto,ExE,E5.5,E5.5_Nowotschin,319_E5.5_Nowotschin,12
320_E5.5_Nowotschin,epiblast,EPI,E5.5,E5.5_Nowotschin,320_E5.5_Nowotschin,10
321_E5.5_Nowotschin,epiblast,EPI,E5.5,E5.5_Nowotschin,321_E5.5_Nowotschin,10
322_E5.5_Nowotschin,epiblast,EPI,E5.5,E5.5_Nowotschin,322_E5.5_Nowotschin,10
323_E5.5_Nowotschin,epiblast,EPI,E5.5,E5.5_Nowotschin,323_E5.5_Nowotschin,10
324_E5.5_Nowotschin,xecto,ExE,E5.5,E5.5_Nowotschin,324_E5.5_Nowotschin,17
325_E5.5_Nowotschin,epiblast,EPI,E5.5,E5.5_Nowotschin,325_E5.5_Nowotschin,10
326_E5.5_Nowotschin,evendo,exVE,E5.5,E5.5_Nowotschin,326_E5.5_Nowotschin,16
327_E5.5_Nowotschin,epiblast,EPI,E5.5,E5.5_Nowotschin,327_E5.5_Nowotschin,10
328_E5.5_Nowotschin,endoderm,emVE,E5.5,E5.5_Nowotschin,328_E5.5_Nowotschin,16
329_E5.5_Nowotschin,xecto,ExE,E5.5,E5.5_Nowotschin,329_E5.5_Nowotschin,17
330_E5.5_Nowotschin,evendo,exVE,E5.5,E5.5_Nowotschin,330_E5.5_Nowotschin,16
331_E5.5_Nowotschin,epiblast,EPI,E5.5,E5.5_Nowotschin,331_E5.5_Nowotschin,10
332_E5.5_Nowotschin,xecto,ExE,E5.5,E5.5_Nowotschin,332_E5.5_Nowotschin,17
333_E5.5_Nowotschin,epiblast,EPI,E5.5,E5.5_Nowotschin,333_E5.5_Nowotschin,10
334_E5.5_Nowotschin,xecto,ExE,E5.5,E5.5_Nowotschin,334_E5.5_Nowotschin,17
335_E5.5_Nowotschin,xecto,ExE,E5.5,E5.5_Nowotschin,335_E5.5_Nowotschin,12
336_18m 10x,bladder,bladder cell,18m,18m 10x,336_18m 10x,5
337_18m 10x,bladder,bladder urothelial cell,18m,18m 10x,337_18m 10x,7
338_18m 10x,bladder,endothelial cell,18m,18m 10x,338_18m 10x,24
339_18m 10x,bladder,leukocyte,18m,18m 10x,339_18m 10x,20
340_1m 10x,bladder,bladder cell,1m,1m 10x,340_1m 10x,5
341_1m 10x,bladder,bladder urothelial cell,1m,1m 10x,341_1m 10x,7
342_1m 10x,bladder,endothelial cell,1m,1m 10x,342_1m 10x,24
343_1m 10x,bladder,leukocyte,1m,1m 10x,343_1m 10x,20
344_24m 10x,bladder,bladder cell,24m,24m 10x,344_24m 10x,5
345_24m 10x,bladder,bladder urothelial cell,24m,24m 10x,345_24m 10x,7
346_24m 10x,bladder,endothelial cell,24m,24m 10x,346_24m 10x,24
347_24m 10x,bladder,leukocyte,24m,24m 10x,347_24m 10x,20
348_3m 10x,bladder,bladder cell,3m,3m 10x,348_3m 10x,5
349_3m 10x,bladder,bladder urothelial cell,3m,3m 10x,349_3m 10x,7
350_3m 10x,bladder,endothelial cell,3m,3m 10x,350_3m 10x,24
351_3m 10x,bladder,leukocyte,3m,3m 10x,351_3m 10x,20
352_18m 10x,fat,B cell,18m,18m 10x,352_18m 10x,8
353_18m 10x,fat,endothelial cell,18m,18m 10x,353_18m 10x,0
354_18m 10x,fat,epithelial cell,18m,18m 10x,354_18m 10x,7
355_18m 10x,fat,erythroblast,18m,18m 10x,355_18m 10x,14
356_18m 10x,fat,mesenchymal stem cell of adipose,18m,18m 10x,356_18m 10x,5
357_18m 10x,fat,myeloid cell,18m,18m 10x,357_18m 10x,20
358_18m 10x,fat,T cell,18m,18m 10x,358_18m 10x,1
359_21m 10x,fat,B cell,21m,21m 10x,359_21m 10x,8
360_21m 10x,fat,endothelial cell,21m,21m 10x,360_21m 10x,0
361_21m 10x,fat,epithelial cell,21m,21m 10x,361_21m 10x,7
362_21m 10x,fat,mesenchymal stem cell of adipose,21m,21m 10x,362_21m 10x,5
363_21m 10x,fat,myeloid cell,21m,21m 10x,363_21m 10x,20
364_21m 10x,fat,T cell,21m,21m 10x,364_21m 10x,1
365_30m 10x,fat,B cell,30m,30m 10x,365_30m 10x,8
366_30m 10x,fat,endothelial cell,30m,30m 10x,366_30m 10x,0
367_30m 10x,fat,lymphocyte,30m,30m 10x,367_30m 10x,8
368_30m 10x,fat,mesenchymal stem cell of adipose,30m,30m 10x,368_30m 10x,5
369_30m 10x,fat,myeloid cell,30m,30m 10x,369_30m 10x,20
370_30m 10x,fat,T cell,30m,30m 10x,370_30m 10x,1
371_18m 10x,heart_and_aorta,cardiomyocyte,18m,18m 10x,371_18m 10x,3
372_18m 10x,heart_and_aorta,endocardial cell,18m,18m 10x,372_18m 10x,0
373_18m 10x,heart_and_aorta,endothelial cell of coronary artery,18m,18m 10x,373_18m 10x,0
374_18m 10x,heart_and_aorta,fibroblast of cardiac tissue,18m,18m 10x,374_18m 10x,5
375_18m 10x,heart_and_aorta,leukocyte,18m,18m 10x,375_18m 10x,13
376_18m 10x,heart_and_aorta,smooth muscle cell,18m,18m 10x,376_18m 10x,24
377_1m 10x,heart_and_aorta,cardiomyocyte,1m,1m 10x,377_1m 10x,3
378_1m 10x,heart_and_aorta,endocardial cell,1m,1m 10x,378_1m 10x,0
379_1m 10x,heart_and_aorta,endothelial cell of coronary artery,1m,1m 10x,379_1m 10x,0
380_1m 10x,heart_and_aorta,fibroblast of cardiac tissue,1m,1m 10x,380_1m 10x,5
381_1m 10x,heart_and_aorta,leukocyte,1m,1m 10x,381_1m 10x,13
382_1m 10x,heart_and_aorta,smooth muscle cell,1m,1m 10x,382_1m 10x,24
383_21m 10x,heart_and_aorta,cardiomyocyte,21m,21m 10x,383_21m 10x,3
384_21m 10x,heart_and_aorta,endocardial cell,21m,21m 10x,384_21m 10x,0
385_21m 10x,heart_and_aorta,endothelial cell of coronary artery,21m,21m 10x,385_21m 10x,0
386_21m 10x,heart_and_aorta,fibroblast of cardiac tissue,21m,21m 10x,386_21m 10x,5
387_21m 10x,heart_and_aorta,leukocyte,21m,21m 10x,387_21m 10x,13
388_24m 10x,heart_and_aorta,endocardial cell,24m,24m 10x,388_24m 10x,0
389_24m 10x,heart_and_aorta,endothelial cell of coronary artery,24m,24m 10x,389_24m 10x,0
390_24m 10x,heart_and_aorta,fibroblast of cardiac tissue,24m,24m 10x,390_24m 10x,5
391_24m 10x,heart_and_aorta,leukocyte,24m,24m 10x,391_24m 10x,13
392_24m 10x,heart_and_aorta,smooth muscle cell,24m,24m 10x,392_24m 10x,24
393_30m 10x,heart_and_aorta,cardiomyocyte,30m,30m 10x,393_30m 10x,3
394_30m 10x,heart_and_aorta,endocardial cell,30m,30m 10x,394_30m 10x,0
395_30m 10x,heart_and_aorta,endothelial cell of coronary artery,30m,30m 10x,395_30m 10x,0
396_30m 10x,heart_and_aorta,erythrocyte,30m,30m 10x,396_30m 10x,12
397_30m 10x,heart_and_aorta,fibroblast of cardiac tissue,30m,30m 10x,397_30m 10x,5
398_30m 10x,heart_and_aorta,leukocyte,30m,30m 10x,398_30m 10x,13
399_30m 10x,heart_and_aorta,mast cell,30m,30m 10x,399_30m 10x,21
400_30m 10x,heart_and_aorta,smooth muscle cell,30m,30m 10x,400_30m 10x,24
401_3m 10x,heart_and_aorta,cardiomyocyte,3m,3m 10x,401_3m 10x,3
402_3m 10x,heart_and_aorta,endocardial cell,3m,3m 10x,402_3m 10x,0
403_3m 10x,heart_and_aorta,endothelial cell of coronary artery,3m,3m 10x,403_3m 10x,0
404_3m 10x,heart_and_aorta,fibroblast of cardiac tissue,3m,3m 10x,404_3m 10x,5
405_3m 10x,heart_and_aorta,leukocyte,3m,3m 10x,405_3m 10x,13
406_18m 10x,kidney,B cell,18m,18m 10x,406_18m 10x,8
407_18m 10x,kidney,brush cell,18m,18m 10x,407_18m 10x,26
408_18m 10x,kidney,epithelial cell of proximal tubule,18m,18m 10x,408_18m 10x,26
409_18m 10x,kidney,fenestrated cell,18m,18m 10x,409_18m 10x,0
410_18m 10x,kidney,fibroblast,18m,18m 10x,410_18m 10x,5
411_18m 10x,kidney,kidney collecting duct principal cell,18m,18m 10x,411_18m 10x,25
412_18m 10x,kidney,kidney cortex artery cell,18m,18m 10x,412_18m 10x,0
413_18m 10x,kidney,kidney distal convoluted tubule epithelial cell,18m,18m 10x,413_18m 10x,25
414_18m 10x,kidney,kidney loop of Henle ascending limb epithelial cell,18m,18m 10x,414_18m 10x,25
415_18m 10x,kidney,kidney loop of Henle thick ascending limb epithelial cell,18m,18m 10x,415_18m 10x,25
416_18m 10x,kidney,kidney mesangial cell,18m,18m 10x,416_18m 10x,24
417_18m 10x,kidney,kidney proximal convoluted tubule epithelial cell,18m,18m 10x,417_18m 10x,26
418_18m 10x,kidney,lymphocyte,18m,18m 10x,418_18m 10x,18
419_18m 10x,kidney,macrophage,18m,18m 10x,419_18m 10x,13
420_18m 10x,kidney,podocyte,18m,18m 10x,420_18m 10x,25
421_18m 10x,kidney,T cell,18m,18m 10x,421_18m 10x,1
422_1m 10x,kidney,brush cell,1m,1m 10x,422_1m 10x,26
423_1m 10x,kidney,epithelial cell of proximal tubule,1m,1m 10x,423_1m 10x,26
424_1m 10x,kidney,fenestrated cell,1m,1m 10x,424_1m 10x,0
425_1m 10x,kidney,kidney capillary endothelial cell,1m,1m 10x,425_1m 10x,0
426_1m 10x,kidney,kidney collecting duct principal cell,1m,1m 10x,426_1m 10x,25
427_1m 10x,kidney,kidney cortex artery cell,1m,1m 10x,427_1m 10x,0
428_1m 10x,kidney,kidney distal convoluted tubule epithelial cell,1m,1m 10x,428_1m 10x,25
429_1m 10x,kidney,kidney loop of Henle ascending limb epithelial cell,1m,1m 10x,429_1m 10x,25
430_1m 10x,kidney,kidney loop of Henle thick ascending limb epithelial cell,1m,1m 10x,430_1m 10x,25
431_1m 10x,kidney,kidney mesangial cell,1m,1m 10x,431_1m 10x,24
432_1m 10x,kidney,kidney proximal convoluted tubule epithelial cell,1m,1m 10x,432_1m 10x,26
433_1m 10x,kidney,macrophage,1m,1m 10x,433_1m 10x,13
434_1m 10x,kidney,podocyte,1m,1m 10x,434_1m 10x,25
435_21m 10x,kidney,B cell,21m,21m 10x,435_21m 10x,8
436_21m 10x,kidney,brush cell,21m,21m 10x,436_21m 10x,26
437_21m 10x,kidney,epithelial cell of proximal tubule,21m,21m 10x,437_21m 10x,26
438_21m 10x,kidney,fenestrated cell,21m,21m 10x,438_21m 10x,0
439_21m 10x,kidney,kidney collecting duct principal cell,21m,21m 10x,439_21m 10x,25
440_21m 10x,kidney,kidney cortex artery cell,21m,21m 10x,440_21m 10x,0
441_21m 10x,kidney,kidney distal convoluted tubule epithelial cell,21m,21m 10x,441_21m 10x,25
442_21m 10x,kidney,kidney loop of Henle thick ascending limb epithelial cell,21m,21m 10x,442_21m 10x,25
443_21m 10x,kidney,kidney mesangial cell,21m,21m 10x,443_21m 10x,24
444_21m 10x,kidney,kidney proximal convoluted tubule epithelial cell,21m,21m 10x,444_21m 10x,26
445_21m 10x,kidney,lymphocyte,21m,21m 10x,445_21m 10x,18
446_21m 10x,kidney,macrophage,21m,21m 10x,446_21m 10x,13
447_21m 10x,kidney,podocyte,21m,21m 10x,447_21m 10x,25
448_21m 10x,kidney,T cell,21m,21m 10x,448_21m 10x,1
449_24m 10x,kidney,B cell,24m,24m 10x,449_24m 10x,8
450_24m 10x,kidney,lymphocyte,24m,24m 10x,450_24m 10x,14
451_24m 10x,kidney,macrophage,24m,24m 10x,451_24m 10x,22
452_24m 10x,kidney,NK cell,24m,24m 10x,452_24m 10x,30
453_24m 10x,kidney,plasma cell,24m,24m 10x,453_24m 10x,32
454_24m 10x,kidney,T cell,24m,24m 10x,454_24m 10x,1
455_30m 10x,kidney,B cell,30m,30m 10x,455_30m 10x,8
456_30m 10x,kidney,brush cell,30m,30m 10x,456_30m 10x,26
457_30m 10x,kidney,epithelial cell of proximal tubule,30m,30m 10x,457_30m 10x,26
458_30m 10x,kidney,fenestrated cell,30m,30m 10x,458_30m 10x,0
459_30m 10x,kidney,fibroblast,30m,30m 10x,459_30m 10x,5
460_30m 10x,kidney,kidney collecting duct principal cell,30m,30m 10x,460_30m 10x,25
461_30m 10x,kidney,kidney cortex artery cell,30m,30m 10x,461_30m 10x,0
462_30m 10x,kidney,kidney distal convoluted tubule epithelial cell,30m,30m 10x,462_30m 10x,25
463_30m 10x,kidney,kidney loop of Henle ascending limb epithelial cell,30m,30m 10x,463_30m 10x,25
464_30m 10x,kidney,kidney loop of Henle thick ascending limb epithelial cell,30m,30m 10x,464_30m 10x,25
465_30m 10x,kidney,kidney proximal convoluted tubule epithelial cell,30m,30m 10x,465_30m 10x,26
466_30m 10x,kidney,lymphocyte,30m,30m 10x,466_30m 10x,18
467_30m 10x,kidney,macrophage,30m,30m 10x,467_30m 10x,13
468_30m 10x,kidney,plasma cell,30m,30m 10x,468_30m 10x,32
469_30m 10x,kidney,podocyte,30m,30m 10x,469_30m 10x,26
470_30m 10x,kidney,T cell,30m,30m 10x,470_30m 10x,1
471_3m 10x,kidney,epithelial cell of proximal tubule,3m,3m 10x,471_3m 10x,26
472_3m 10x,kidney,fenestrated cell,3m,3m 10x,472_3m 10x,0
473_3m 10x,kidney,kidney capillary endothelial cell,3m,3m 10x,473_3m 10x,0
474_3m 10x,kidney,kidney collecting duct principal cell,3m,3m 10x,474_3m 10x,25
475_3m 10x,kidney,kidney cortex artery cell,3m,3m 10x,475_3m 10x,0
476_3m 10x,kidney,kidney distal convoluted tubule epithelial cell,3m,3m 10x,476_3m 10x,25
477_3m 10x,kidney,kidney loop of Henle ascending limb epithelial cell,3m,3m 10x,477_3m 10x,25
478_3m 10x,kidney,kidney loop of Henle thick ascending limb epithelial cell,3m,3m 10x,478_3m 10x,25
479_3m 10x,kidney,kidney mesangial cell,3m,3m 10x,479_3m 10x,24
480_3m 10x,kidney,kidney proximal convoluted tubule epithelial cell,3m,3m 10x,480_3m 10x,26
481_3m 10x,kidney,kidney proximal straight tubule epithelial cell,3m,3m 10x,481_3m 10x,26
482_3m 10x,kidney,lymphocyte,3m,3m 10x,482_3m 10x,18
483_3m 10x,kidney,macrophage,3m,3m 10x,483_3m 10x,13
484_3m 10x,kidney,podocyte,3m,3m 10x,484_3m 10x,25
485_30m 10x,large_intestine,enterocyte of epithelium of large intestine,30m,30m 10x,485_30m 10x,27
486_30m 10x,large_intestine,epithelial cell of large intestine,30m,30m 10x,486_30m 10x,27
487_30m 10x,large_intestine,hematopoietic stem cell,30m,30m 10x,487_30m 10x,1
488_30m 10x,large_intestine,intestinal crypt stem cell,30m,30m 10x,488_30m 10x,27
489_30m 10x,large_intestine,large intestine goblet cell,30m,30m 10x,489_30m 10x,27
490_18m 10x,limb_muscle,endothelial cell,18m,18m 10x,490_18m 10x,0
491_18m 10x,limb_muscle,macrophage,18m,18m 10x,491_18m 10x,20
492_18m 10x,limb_muscle,mesenchymal stem cell,18m,18m 10x,492_18m 10x,5
493_18m 10x,limb_muscle,Schwann cell,18m,18m 10x,493_18m 10x,2
494_18m 10x,limb_muscle,skeletal muscle satellite cell,18m,18m 10x,494_18m 10x,3
495_18m 10x,limb_muscle,smooth muscle cell,18m,18m 10x,495_18m 10x,24
496_18m 10x,limb_muscle,T cell,18m,18m 10x,496_18m 10x,1
497_1m 10x,limb_muscle,B cell,1m,1m 10x,497_1m 10x,8
498_1m 10x,limb_muscle,endothelial cell,1m,1m 10x,498_1m 10x,0
499_1m 10x,limb_muscle,macrophage,1m,1m 10x,499_1m 10x,20
500_1m 10x,limb_muscle,mesenchymal stem cell,1m,1m 10x,500_1m 10x,5
